"Id","Name","Codename","Element"
"779f4ae5-d9c6-4aef-b866-2908c378a9c8","Active listening","active_listening","2020-06-03T10:36:59.7847584Z"
"95e59091-bc84-4d56-bf28-da56ba0ea872","An introduction to our mission","an_introduction_to_our_mission","2020-06-04T09:43:27.9234135Z"
"1b86c527-f3a1-4ad7-a2fe-619d4a92fe93","An introduction to our vision","an_introduction_to_our_vision","2020-06-04T09:44:49.4575564Z"
"410a921f-1f80-4cd2-9924-b3d73b6739ae","Bart Omlo","bart_omlo","2020-08-25T07:16:30.1166799Z"
"2844b03c-b4ec-4619-b1bf-e37387db57e7","Basics of communication","basics_of_communication","2020-06-04T13:07:19.5341775Z"
"12a058c7-4fb7-42f5-a03a-ad08944f22d4","BMW playbook","bmw_playbook","2020-06-04T09:47:27.8241038Z"
"ca5ebf89-0195-4b0e-bf25-99f12291cd6f","Body language","body_language","2020-06-04T13:27:31.5844779Z"
"0cfe6757-1f33-45fb-84a5-cc81bdadf29d","Clarifying expectations","clarifying_expectations","2020-06-03T10:36:48.8025892Z"
"2e25d013-c0b7-477f-9bbe-b424f69f4b28","Company history","company_history","2020-06-04T09:32:23.9966823Z"
"d0c3919d-bcc3-47f7-938a-4de02047f2bb","Encouraging freedom and accountability","encouraging_freedom_and_accountability","2020-06-04T09:48:52.4816143Z"
"650b1122-180a-4ee6-b654-c9146f6dbd8f","Features of communication","features_of_communication","2020-06-03T10:37:11.9411172Z"
"5d5b26f5-fa88-4b1f-985e-ef893c26604b","First impression","first_impression","2020-06-04T13:26:25.7365042Z"
"d2d59d6d-2211-4352-83dd-aec95cb604f3","Future of BMW","future_of_bmw_d2d59d6","2021-01-13T15:25:34.9625324Z"
"10b99ca2-6f3f-487a-bdab-c930da1673aa","Horst","horst","2020-08-02T18:50:59.7673902Z"
"a004a9bc-82cf-42ec-bc7b-58948700930d","What kind of culture do we want to build?","how","2020-06-04T09:47:09.9703386Z"
"c1a1dc9f-4804-4b17-8b59-fda14650dbce","How the mission contributes","how_the_mission_contributes","2020-06-04T09:44:20.7589213Z"
"b6dc7cf3-d306-4c5a-9b67-c839bee4bc16","Introducing the participants","introducing_the_participants","2020-06-03T10:36:10.3911647Z"
"50a3ad13-e12c-4f9d-b1d1-1c2d4422ff58","Introduction","introduction","2020-06-04T13:05:21.4773393Z"
"0dd2f118-a368-4996-8026-7f451e76441e","Juan","juan","2020-06-03T11:11:25.1554064Z"
"857fecd8-7a79-4539-9be8-62e18ba7531e","Mission","mission","2020-06-04T09:43:44.176055Z"
"1c4dceb0-b855-4998-bdf5-ebc627493b78","Mission & vision course","mission___vision_course","2020-06-04T10:05:18.0188331Z"
"f7923bea-b028-450a-8236-bedd8325f58a","Module 2","module_2","2020-06-08T12:58:35.6151934Z"
"eeaaa002-b366-48c7-be4e-5d7090e8b537","4 phases of a tricky conversation","n4_phases_of_a_tricky_conversation","2020-06-04T12:29:29.9179529Z"
"3ed1b8ee-9fb7-4b69-9944-519088df808c","What kind of company do we want to be?","our_core_values","2020-06-04T09:46:42.8322271Z"
"564adfa1-1f03-44f7-9509-69aca79fce69","Our vision in relation to our mission","our_vision_in_relation_to_our_mission","2020-06-04T09:48:32.53386Z"
"5b7fca50-638f-41eb-9c9a-50718f7bec71","Overview","overview","2020-06-03T10:36:25.9174222Z"
"9bcbac5c-be5f-4c14-8e4a-1e91f7071c63","Question types","question_types","2020-06-04T12:27:05.5809993Z"
"3d770cc3-b397-441e-99f9-db8f86a62a77","Sarah","sarah_c_","2020-06-04T12:50:40.7328752Z"
"bf2582f2-2ccd-4835-877e-a89f82a7d6df","Soft skills","softskills","2020-08-02T18:55:20.8676563Z"
"189564c1-f4fa-4a3f-980f-f70f58b9c928","Successfully managing tricky conversations","successfully_managing_tricky_conversations","2020-06-04T12:29:58.8859128Z"
"b9c88dc2-720d-4d2a-b70e-f8934fda0734","Technical course","technical_course","2020-06-03T13:19:04.7786103Z"
"7cd9b3bd-429b-4100-a50d-da57fb205d30","Technical qualification","technical_qualification","2021-01-13T15:26:57.7326691Z"
"618e3bb2-5ca3-4f9f-a42a-7962fa739e82","The 4 sides of a message","the_4_sides_of_a_message","2020-06-03T10:37:20.848769Z"
"49693b5c-716b-4e1d-b413-1d9357de2bfa","The art of presentation","the_art_of_presentation","2020-06-04T15:10:34.0544322Z"
"c61c48e2-ebb4-4e0d-9530-00d2c2e86190","The power of speech","the_power_of_speech","2020-06-04T13:28:22.6552987Z"
"cbe34294-7045-48b3-b7de-5a3a5c5fe415","Tricky conversations/negotations","tricky_conversations_negotations","2020-06-04T13:11:41.8844857Z"
"96d87335-ac84-4bf8-80e3-a053844f1605","Vision","vision","2020-06-04T09:44:54.9459518Z"
"8f7dcd80-3209-4904-a6f6-4ee882c64c89","Welcome","welcome","2020-06-03T10:36:37.9562979Z"
"37cd1699-d9e6-4ad4-aaf7-a015aa0f387f","What is a playbook?","what_is_a_playbook_","2020-06-04T09:45:39.5608753Z"
